sku;model;kategorija;podkategorija;naziv;kratki opis;dugi opis;proizvoðaè;cijena;popust (koeficjent, npr. 0.1);zaliha;novo (da/ne);akcija (da/ne);najprodavaniji (da/ne);vrijeme dostave (dana);redoslijed (0,1,2...);besplatna dostava (da/ne);best buy (da/ne);wifi (da/ne);širina (cm);visina (cm);dubina (cm);snaga (W);boja;energetski razred;ne propustite priliku (da/ne);insert (bioetanol/elektrièni)
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
7090019821522;AB-H;grijanje na struju;Mill uljni radijatori;Mill AB-H1000DN - uljni radijator;Mill uljni radijator sa Heat Boost tehnologijom, 1000W jaèina, 3 stupnja podešavanja jaèine 400/600/1000W, LED zaslon, elektronski termostat sa 24-satni program, èeliène fronte, aluminijsko postolje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.6m, težina 7.9kg, preporuèena velièina prostorije 8-15m? Ovaj proizvod je prikladan samo za dobro izolirane prostorije ili povremenu upotrebu.;Atraktivan i jedinstven Nordijski dizajn Ukoliko tražite nešto što može pridonijeti odliènom izgledu Vašeg interijera, a istodobno Vam daje ugodan osjeæaj topline tijekom zime, onda Vam treba nova generacija Mill uljnih radijatora! Mill Heat Boost Tehnologija Mill Oil Premium zagrijava prostoriju 29% brže od tradicionalno izraðenih uljnih radijatora zbog svoje zatvorene strukture koja pokriva rešetke radijatora, zahvaljujuæi takvoj strukturi topli zrak se diže brže što rezultira uèinkovitijoj/boljoj distribuciji toplog zraka u prostoriji. Ovaj radijator ne isušuje zrak te je izvrstan odabir za ljude sa alargijama. Dan/noæ program omoguæuje vam smanjenje temperature kada niste doma ili spavate, na taj naèin možete smanjiti potrošnju elektriène energije i do 25%. Jednostavan je za programiranje i omoguæuje vam kontrolu nad grijanjem u svakom trenutku.;Mill;1209;;;;;;2-3 radna dana;;DA;DA;ne;26.8;65.6;15;1000;bijela;;;
7090019821539;AB-H;grijanje na struju;Mill uljni radijatori;Mill AB-H1500DN - uljni radijator;Mill uljni radijator sa Heat Boost tehnologijom, 1500W jaèina, 3 stupnja podešavanja jaèine 600/900/1500W, LED zaslon, elektronski termostat sa 24-satni program, èeliène fronte, aluminijsko postolje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.6m, težina 9.9kg, preporuèena velièina prostorije 16-24m? Ovaj proizvod je prikladan samo za dobro izolirane prostorije ili povremenu upotrebu.;Atraktivan i jedinstven Nordijski dizajn Ukoliko tražite nešto što može pridonijeti odliènom izgledu Vašeg interijera, a istodobno Vam daje ugodan osjeæaj topline tijekom zime, onda Vam treba nova generacija Mill uljnih radijatora! Mill Heat Boost Tehnologija Mill Oil Premium zagrijava prostoriju 29% brže od tradicionalno izraðenih uljnih radijatora zbog svoje zatvorene strukture koja pokriva rešetke radijatora, zahvaljujuæi takvoj strukturi topli zrak se diže brže što rezultira uèinkovitijoj/boljoj distribuciji toplog zraka u prostoriji. Ovaj radijator ne isušuje zrak te je izvrstan odabir za ljude sa alargijama. Dan/noæ program omoguæuje vam smanjenje temperature kada niste doma ili spavate, na taj naèin možete smanjiti potrošnju elektriène energije i do 25%. Jednostavan je za programiranje i omoguæuje vam kontrolu nad grijanjem u svakom trenutku.;Mill;1389;;;;;;2-3 radna dana;;DA;DA;ne;34.4;65.6;26.1;1500;bijela;;;
7090019822383;AB-H;grijanje na struju;Mill uljni radijatori;Mill AB-H1500WIFI - uljni radijator;Mill Heat Boost tehnologija, Mill uljni radijator sa integriranim WIFI-om, jaèina 1500W, 3 stupnja podešavanja jaèine 600/900/1500W, LED zaslon, super precizan elektronski termostat, napredna kontrola termostata Millheat app+WIFI, èeliène fronte, aluminijsko postolje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.6m, težina 11.3kg, preporuèena velièina prostorije 16-24m? Ovaj proizvod je prikladan samo za dobro izolirane prostorije ili povremenu upotrebu.;Atraktivan i jedinstven Nordijski dizajn Mill AB-H1500WIFI je izvanredan “allround” uljni radijator jaèine 1500 W. Mill Oil Premium je inovativan uljni radijator koji sadrži najmoderniju tehnologiju.  Mill Oil Premium poveæanom brzinom raspodjeljuje toplinu unutar prostorije te pruža udobno i toplo okruženje. Osim toga, ne isušuje zrak.Ukoliko tražite nešto što može pridonijeti odliènom izgledu Vašeg interijera, a istodobno Vam daje ugodan osjeæaj topline tijekom zime, onda Vam treba nova generacija Mill uljnih radijatora! Mill Heat Boost Tehnologija Mill Oil Premium zagrijava prostoriju 29% brže od tradicionalno izraðenih uljnih radjatora zbog svoje zatvorene strukture koja pokriva rešetke radijatora, zahvaljujuæi takvoj strukturi topli zrak se diže brže što rezultira uèinkovtijoj/boljoj distribuciji toplog zraka u prostoriji. Kako bi život ljudi bio što praktièniji od sada nudimo potpuno WiFi integrirane radijatore, koji se mogu kontrolirati dodirom gumba na vašoj Millheat aplikaciji. Pomoæu aplikacije možete upravljati svim Vašim Mill WiFi ureðajima za grijanje na razlièitim lokacijama (kuæa, stan, vikendica, ured, itd.). Aplikacija je potpuno besplatna i nema skrivenih troškova. Za preuzimanje aplikacije upišite «millheat» u pretraživaè unutar Appstore-a ili Google Play-a i instalirajte aplikaciju na vaš ureðaj.;Mill;1539;;;;;;2-3 radna dana;;DA;DA;da;34.4;65.6;15;1500;bijela;;;
7090019821546;AB-H;grijanje na struju;Mill uljni radijatori;Mill AB-H2000DN - uljni radijator;Mill uljni radijator sa Heat Boost tehnologijom, 2000W jaèina, 3 stupnja podešavanja jaèine 800/1200/2000W, LED zaslon, elektronski termostat sa 24-satni program, èeliène fronte, aluminijsko postolje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.6m, težina 12.1kg, preporuèena velièina prostorije 15-25m? Ovaj proizvod je prikladan samo za dobro izolirane prostorije ili povremenu upotrebu.;Atraktivan i jedinstven Nordijski dizajn Ukoliko tražite nešto što može pridonijeti odliènom izgledu Vašeg interijera, a istodobno Vam daje ugodan osjeæaj topline tijekom zime, onda Vam treba nova generacija Mill uljnih radijatora! Mill Heat Boost Tehnologija Mill Oil Premium zagrijava prostoriju 29% brže od tradicionalno izraðenih uljnih radijatora zbog svoje zatvorene strukture koja pokriva rešetke radijatora, zahvaljujuæi takvoj strukturi topli zrak se diže brže što rezultira uèinkovitijoj/boljoj distribuciji toplog zraka u prostoriji. Ovaj radijator ne isušuje zrak te je izvrstan odabir za ljude sa alargijama. Dan/noæ program omoguæuje vam smanjenje temperature kada niste doma ili spavate, na taj naèin možete smanjiti potrošnju elektriène energije i do 25%. Jednostavan je za programiranje i omoguæuje vam kontrolu nad grijanjem u svakom trenutku.;Mill;1629;;;;;;2-3 radna dana;;DA;DA;ne;42;65.6;26.1;2000;bijela;;;
7090019821959;AVWIFI;grijanje na struju;Mill norveški radijatori;Mill AV1200WIFI Glass - zidni norveški radijator;Mill zidni norveški radijator sa integriranim WIFI-om, jaèina 1200W, staklena fronta, super precizan termostat, napredna kontrola termostata Millheat app+WIFI, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), neèujan rad, dužina naponskog kabla 1.3m, težina 10kg, preporuèena velièina prostorije 14-18m?;Atraktivan i moderan Norveški dizajn Sa svojim atraktivnim i modernim dizajnom Mill Glass serija sa prednjom frontom od kaljenog stakla je doèekana kao pravo osvježenje spram tradicionalnih radijatora. Proèišæen i elegantan dizajn èine ga savršenim dodatkom svakog doma. Mill Glass zidni norveški radijator, savršen je izbor za prostorije kojima je potrebno konstantno grijanje, èak i kada niste doma. Kako bi život ljudi bio što praktièniji od sada nudimo potpuno WiFi integrirane norveške radijatore, koji se mogu kontrolirati dodirom gumba na vašoj Millheat aplikaciji. Pomoæu aplikacije možete upravljati svim Vašim Mill WiFi ureðajima za grijanje na razlièitim lokacijama (kuæa, stan, vikendica, ured, itd.). Aplikacija je potpuno besplatna i nema skrivenih troškova. Za preuzimanje aplikacije upišite «millheat» u pretraživaè unutar Appstore-a ili Google Play-a i instalirajte aplikaciju na vaš ureðaj. Mill zidni norveški radijator je opremljen aluminijskim grijaèim elementom X oblika koji omoguæuje visoku uèinkovitost i nisku temperaturu prednjeg panela. Bazirano na konvektorskom naèinu grijanja koji funkcionira na principu prirodne cirkulacije zraka. Hladan zrak ulazi sa donje strane radijatora te se zagrijava prolaskom kroz grijaèa tijela. Vruæi zrak poveæava svoj volumen te izlazi iz radijatora ostavljajuæi prostor za ulazak hladnog zraka. To je neprekidan ciklus koji rezultira efikasnošæu te konstantnim i ravnomjernim zagrijavanjem prostora. Povezivanjem vaših Mill WIFI radijatora sa iOS/Android ureðajem možete uèiniti sljedeæe: Upravljati sa svim vašim radijatorima koji se nalaze na više lokacija. Svime se upravlja pomoæu Millheat aplikacije (istog korisnika)Postaviti tjedne programe (ili koristiti standardni program koji je veæ dostupan u app) uz pomoæ 3 naèina rada: Ugodno, Spavanje, Van Kuæe Postaviti pojedinaènu temperaturu za 3 razlièita naèina rada u svakoj prostoriji Premostiti postavljene programe za cijelu kuæu, odreðenu prostoriju ili odreðeni radijator. Nema potrebe za ponovnim ureðivanjem programa ukoliko jedan dan doðete ranije doma Aktivirati Naèin rada/funkciju Odmor za uštedu el.energije dok ste odsutni. Aplikacija æe automatski poveæati temperaturu u kuæi prije vašeg dolaska Podijelite/”šerajte” vašu kuæu sa ostalim ukuæanima, kako bi upravljanje bilo još lakše Funkcija/naèin rada “OTVORENI PROZOR” koja se aktivira odmah ukoliko temperatura naglo padne za više od 2? u roku od 2 minute. Panel radijator æe automatski prestati grijati te æe automatski ponovno poèeti grijati nakon 10 minuta.+ mnogo drugih stvari;Mill;1439;;;;;;2-3 radna dana;;DA;DA;da;106.5;40;8;1200;bijela;;;
7090019821935;AVWIFI;grijanje na struju;Mill norveški radijatori;Mill AV600WIFI Glass - zidni norveški radijator;Mill zidni norveški radijator sa integriranim WIFI-om, jaèina 600W, staklena fronta, super precizan termostat, napredna kontrola termostata Millheat app+WIFI, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), neèujan rad, dužina naponskog kabla 1.3m, težina 6.7kg, preporuèena velièina prostorije 8-11m?;Atraktivan i moderan Norveški dizajn Sa svojim atraktivnim i modernim dizajnom Mill Glass serija sa prednjom frontom od kaljenog stakla je doèekana kao pravo osvježenje spram tradicionalnih radijatora. Proèišæen i elegantan dizajn èine ga savršenim dodatkom svakog doma. Mill Glass zidni norveški radijator, savršen je izbor za prostorije kojima je potrebno konstantno grijanje, èak i kada niste doma. Kako bi život ljudi bio što praktièniji od sada nudimo potpuno WiFi integrirane norveške radijatore, koji se mogu kontrolirati dodirom gumba na vašoj Millheat aplikaciji. Pomoæu aplikacije možete upravljati svim Vašim Mill WiFi ureðajima za grijanje na razlièitim lokacijama (kuæa, stan, vikendica, ured, itd.). Aplikacija je potpuno besplatna i nema skrivenih troškova. Za preuzimanje aplikacije upišite «millheat» u pretraživaè unutar Appstore-a ili Google Play-a i instalirajte aplikaciju na vaš ureðaj. Mill zidni norveški radijator je opremljen aluminijskim grijaèim elementom X oblika koji omoguæuje visoku uèinkovitost i nisku temperaturu prednjeg panela. Bazirano na konvektorskom naèinu grijanja koji funkcionira na principu prirodne cirkulacije zraka. Hladan zrak ulazi sa donje strane radijatora te se zagrijava prolaskom kroz grijaèa tijela. Vruæi zrak poveæava svoj volumen te izlazi iz radijatora ostavljajuæi prostor za ulazak hladnog zraka. To je neprekidan ciklus koji rezultira efikasnošæu te konstantnim i ravnomjernim zagrijavanjem prostora. Povezivanjem vaših Mill WIFI radijatora sa iOS/Android ureðajem možete uèiniti sljedeæe: Upravljati sa svim vašim radijatorima koji se nalaze na više lokacija. Svime se upravlja pomoæu Millheat aplikacije (istog korisnika) Postaviti tjedne programe (ili koristiti standardni program koji je veæ dostupan u app) uz pomoæ 3 naèina rada: Ugodno, Spavanje, Van Kuæe Postaviti pojedinaènu temperaturu za 3 razlièita naèina rada u svakoj prostoriji Premostiti postavljene programe za cijelu kuæu, odreðenu prostoriju ili odreðeni radijator. Nema potrebe za ponovnim ureðivanjem programa ukoliko jedan dan doðete ranije doma Aktivirati Naèin rada/funkciju Odmor za uštedu el.energije dok ste odsutni. Aplikacija æe automatski poveæati temperaturu u kuæi prije vašeg dolaska Podijelite/”šerajte” vašu kuæu sa ostalim ukuæanima, kako bi upravljanje bilo još lakše Funkcija/naèin rada “OTVORENI PROZOR” koja se aktivira odmah ukoliko temperatura naglo padne za više od 2? u roku od 2 minute. Panel radijator æe automatski prestati grijati te æe automatski ponovno poèeti grijati nakon 10 minuta. + mnogo drugih stvari;Mill;1069;;;;;;2-3 radna dana;;DA;DA;da;66.5;40;8;600;bijela;;;
7090019822307;AVWIFI;grijanje na struju;Mill norveški radijatori;Mill AV900WIFI Glass - zidni norveški radijator;Mill zidni norveški radijator sa integriranim WIFI-om, jaèina 900W, staklena fronta, super precizan termostat, napredna kontrola termostata Millheat app+WIFI, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), neèujan rad, dužina naponskog kabla 1.3m, težina 8kg, preporuèena velièina prostorije 11-15m?;Atraktivan i moderan Norveški dizajn Sa svojim atraktivnim i modernim dizajnom Mill Glass serija sa prednjom frontom od kaljenog stakla je doèekana kao pravo osvježenje spram tradicionalnih radijatora. Proèišæen i elegantan dizajn èine ga savršenim dodatkom svakog doma. Mill Glass zidni norveški radijator, savršen je izbor za prostorije kojima je potrebno konstantno grijanje, èak i kada niste doma. Kako bi život ljudi bio što praktièniji od sada nudimo potpuno WiFi integrirane norveške radijatore, koji se mogu kontrolirati dodirom gumba na vašoj Millheat aplikaciji. Pomoæu aplikacije možete upravljati svim Vašim Mill WiFi ureðajima za grijanje na razlièitim lokacijama (kuæa, stan, vikendica, ured, itd.). Aplikacija je potpuno besplatna i nema skrivenih troškova. Za preuzimanje aplikacije upišite «millheat» u pretraživaè unutar Appstore-a ili Google Play-a i instalirajte aplikaciju na vaš ureðaj. Mill zidni norveški radijator je opremljen aluminijskim grijaèim elementom X oblika koji omoguæuje visoku uèinkovitost i nisku temperaturu prednjeg panela. Bazirano na konvektorskom naèinu grijanja koji funkcionira na principu prirodne cirkulacije zraka. Hladan zrak ulazi sa donje strane radijatora te se zagrijava prolaskom kroz grijaèa tijela. Vruæi zrak poveæava svoj volumen te izlazi iz radijatora ostavljajuæi prostor za ulazak hladnog zraka. To je neprekidan ciklus koji rezultira efikasnošæu te konstantnim i ravnomjernim zagrijavanjem prostora. Povezivanjem vaših Mill WIFI radijatora sa iOS/Android ureðajem možete uèiniti sljedeæe: Upravljati sa svim vašim radijatorima koji se nalaze na više lokacija. Svime se upravlja pomoæu Millheat aplikacije (istog korisnika) Postaviti tjedne programe (ili koristiti standardni program koji je veæ dostupan u app) uz pomoæ 3 naèina rada: Ugodno, Spavanje, Van Kuæe Postaviti pojedinaènu temperaturu za 3 razlièita naèina rada u svakoj prostoriji Premostiti postavljene programe za cijelu kuæu, odreðenu prostoriju ili odreðeni radijator. Nema potrebe za ponovnim ureðivanjem programa ukoliko jedan dan doðete ranije doma Aktivirati Naèin rada/funkciju Odmor za uštedu el.energije dok ste odsutni. Aplikacija æe automatski poveæati temperaturu u kuæi prije vašeg dolaska Podijelite/”šerajte” vašu kuæu sa ostalim ukuæanima, kako bi upravljanje bilo još lakše Funkcija/naèin rada “OTVORENI PROZOR” koja se aktivira odmah ukoliko temperatura naglo padne za više od 2? u roku od 2 minute. Panel radijator æe automatski prestati grijati te æe automatski ponovno poèeti grijati nakon 10 minuta. + mnogo drugih stvari;Mill;1269;;;;;;2-3 radna dana;;DA;DA;da;86.5;40;8;900;bijela;;;
7090019822642;;grijanje na struju;Mill konvektori;Mill CUS1800MECW - grijalica;Mill PTC grijalica, jaèina 1800W, 2 stupnja podešavanja jaèine 1200/1800W, PTC grijaèi element, mehanièki termostat, èeliène fronte, ventilator za brzo zagrijavanje, tip-over prekidaè(automatsko iskljuèivanje ukoliko se prevrne), zaštita od pregrijavanja(automatsko iskljuèivanje), dužina naponskog kabla 1.5m, težina 1.9kg, preporuèena velièina prostorije 5-30m?;Mill PTC CUS1800MEC grijalica je najnoviji dodatak Mill obitelji. Ova super moderna Mill grijalica ima iste lijepe zaobljene uglove kao Mill Steel i elegantno aluminijsko postolje zbog èega se èini da grijaè lebdi nad podom. Jednostavno zapanjujuæe! Ponekad je najjednostavnije i najbolje brzo se ugrijati, razlog može biti zato što želite uštedjeti struju ili je samo možda vrlo hladan dan. Bilo kako bilo, Mill PTC grijalica je savršeno rješenje za vas. Iznimno brzo zagrijavaju prostoriju, što znaèi da æe vam brzo pomoæi da povisite temperaturu èak i u vašem dnevnom boravku. Koristi se snažan motor za rasporeðivanjem topline što je dalje moguæe. Pored toga, Mill grijalica je opremljena sa PTC grijaæim elementom. Prednost PTC elementa je puno niža temperatura površine grijalice u odnosu na druge vrste grijaæih elemenata, što znaèi da sagorijevaju puno manje prašine. Koristiti samo za extra hladne dane. Mill PTC CUS1800MECWA æe brzo zagrijati vaš dom. Grijalica ima ukupni uèinak od 1800W i s dvije postavke grijanja: 1200 / 1800W. Preporuèena velièina prostorije 10-30m2.;Mill;479;;;;;;2-3 radna dana;;DA;DA;ne;62;39;8.3;1800;bijela;;;
7090019821058;IBDN;grijanje na struju;Mill norveški radijatori;Mill IB1200DN Steel - zidni norveški radijator;Mill zidni norveški radijator, jaèina 1200W, èelièna zaobljena fronta, super precizan elektronski termostat sa 24-satnim programom, funkcija kalibracije temperature, aluminijski grijaè(uèinkovitost+niska površinska temperatura), H nosaè sa vijcima, pogodan za kupaonice(zona2, klasifikacija IPX4 zaštita od vode pod bilo kojim kutem), dužina naponskog kabla 1.3m, težina 6kg, preporuèena velièina prostorije 14-18m?;Atraktivan i moderan Norveški dizajn U suradnji sa Eker Design osmišljena je nova serija Mill Steel zidnih norveških radijatora u odnosu na  tradicionalne grijaèe panela od èelika. Uoèljiv, a ipak neprimjetan sa svojim zaobljenim rubovima je idealno usuglašen sa blago zaobljenom frontom, što ga èini savršenim izborom za sve koji žele grijaèi panel koji se prirodno uklapa u moderan interijer prostora. Mill Steel zidni norveški radijator savršen je izbor za sve prostorije koje trebaju stalan izvor grijanja, èak i kada niste doma. Dan/noæ program omoguæuje smanjenje temperature i kada niste doma, na taj naèin možete smanjiti potrošnju elektriène energije i do 25%. Jednostavan je za programiranje i omoguæuje vam kontrolu nad grijanjem u svakom trenutku. X-aluminijski element = Uèinkovito i stalno grijanje Mill zidni norveški radijator je opremljen aluminijskim grijaèim elementom X oblika koji omoguæuje visoku uèinkovitost i nisku temperaturu prednjeg panela. Bazirano na konvektorskom naèinu grijanja koji funkcionira na principu prirodne cirkulacije zraka. Hladan zrak ulazi sa donje strane radijatora te se zagrijava prolaskom kroz grijaèa tijela. Vruæi zrak poveæava svoj volumen te izlazi iz radijatora ostavljajuæi prostor za ulazak hladnog zraka. To je neprekidan ciklus koji rezultira efikasnošæu te konstantnim i ravnomjernim zagrijavanjem prostora.;Mill;1099;;;;;;2-3 radna dana;;DA;DA;ne;105;40;8.6;1200;bijela;;;
